taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
5771350	Eucosma campoliliana (Denis & Schiffermüller), 1775	5771350	Eucosma campoliliana (Denis & Schiffermüller), 1775	209	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Tortricidae	5343	Eucosma	1742419	Eucosma campoliliana	5771350	NE
5147011	Idaea deversaria (Herrich-Schäffer, 1847)	5146946	Idaea maritimaria (Bruand, 1846)	310	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Idaea	1973909	Idaea maritimaria	5146946	NE
10901935	Idaea aversata f. remutata (Linnaeus, 1758)	5146559	Idaea aversata (Linnaeus, 1758)	226	FORM	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Idaea	1973909	Idaea aversata	5146559	
1739381	Rhyacionia buoliana (Denis & Schiffermüller), 1775	1739381	Rhyacionia buoliana (Denis & Schiffermüller), 1775	277	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Tortricidae	5343	Rhyacionia	1739336	Rhyacionia buoliana	1739381	NE
9043122	Leptidea sinapis juvernica Williams, 1946	5804895	Leptidea juvernica Williams, 1946	1057	SUBSPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Pieridae	5481	Leptidea	1920554	Leptidea juvernica	5804895	
1964637	Epirrhoe galiata (Denis & Schiffermüller), 1775	1964637	Epirrhoe galiata (Denis & Schiffermüller), 1775	989	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Epirrhoe	1964577	Epirrhoe galiata	1964637	NE
1741056	Ditula angustiorana (Haworth, 1811)	1741056	Ditula angustiorana (Haworth, 1811)	1291	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Tortricidae	5343	Ditula	1741043	Ditula angustiorana	1741056	NE
1745600	Epinotia bilunana (Haworth, 1811)	1745600	Epinotia bilunana (Haworth, 1811)	257	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Tortricidae	5343	Epinotia	1745549	Epinotia bilunana	1745600	NE
5769719	Stigmella speciosa (Frey, 1858) Walsingham, 1916	5769719	Stigmella speciosa (Frey, 1858) Walsingham, 1916	56	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Nepticulidae	7014	Stigmella	1735652	Stigmella speciosa	5769719	NE
1770353	Luperina dumerilii Duponchel, 1826	1770353	Luperina dumerilii Duponchel, 1826	37	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Luperina	1770274	Luperina dumerilii	1770353	NE
1803163	Utetheisa pulchella Linnaeus, 1758	1803163	Utetheisa pulchella Linnaeus, 1758	80	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Erebidae	4532185	Utetheisa	1803137	Utetheisa pulchella	1803163	NE
1875633	Vitula biviella Zeller, 1848	1875633	Vitula biviella Zeller, 1848	25	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Pyralidae	5336	Vitula	1875600	Vitula biviella	1875633	NE
1859285	Amblyptilia acanthadactyla (Hübner, 1813)	1859285	Amblyptilia acanthadactyla (Hübner, 1813)	501	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Pterophoridae	8863	Amblyptilia	1859284	Amblyptilia acanthadactyla	1859285	NE
