taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
10295944	BOLD:AAF2146	10295944	BOLD:AAF2146	21	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Tenthredinidae	7918	Monophadnus	9002469	Monophadnus pallescens	4490281	
5029978	Ichneumon stramentor Rasnitsyn, 1981	5029978	Ichneumon stramentor Rasnitsyn, 1981	530	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Ichneumonidae	3512	Ichneumon	10301142	Ichneumon stramentor	5029978	NE
1355949	Panurgus calcaratus (Scopoli, 1763)	1355949	Panurgus calcaratus (Scopoli, 1763)	432	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Panurgus	1352891	Panurgus calcaratus	1355949	NE
1311805	Dolichovespula saxonica (Fabricius, 1793)	1311805	Dolichovespula saxonica (Fabricius, 1793)	983	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Vespidae	4490	Dolichovespula	1311794	Dolichovespula saxonica	1311805	NE
1343892	Nomada bifasciata Olivier, 1811	1343892	Nomada bifasciata Olivier, 1811	243	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Apidae	4334	Nomada	1343230	Nomada bifasciata	1343892	NE
7908	Halictidae	7908	Halictidae	174	FAMILY	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Halictidae	7908					NE
10592759	BOLD:AAE0415	10592759	BOLD:AAE0415	186	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Myrmica	1318775			
9992190	BOLD:ACP5740	9992190	BOLD:ACP5740	6	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Platygastridae	4348					
1343400	Nomada atroscutellaris Strand, 1921	1343400	Nomada atroscutellaris Strand, 1921	20	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Apidae	4334	Nomada	1343230	Nomada atroscutellaris	1343400	LC
10097732	BOLD:ABA8010	10097732	BOLD:ABA8010	27	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Pteromalidae	9447	Trichomalus	1397149	Trichomalus campestris	5047611	
