taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
6993114	Uleiota planatus (Linnaeus, 1760)	6993114	Uleiota planatus (Linnaeus, 1760)	1078	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Silvanidae	7850	Uleiota	1043806	Uleiota planatus	6993114	NE
4427942	Byrrhus fasciatus (Forster, 1771)	4427942	Byrrhus fasciatus (Forster, 1771)	36	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Byrrhidae	7776	Byrrhus	7735981	Byrrhus fasciatus	4427942	NE
4453163	Glischrochilus quadrisignatus (Say, 1835)	4453163	Glischrochilus quadrisignatus (Say, 1835)	452	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Nitidulidae	7840	Glischrochilus	4405985	Glischrochilus quadrisignatus	4453163	NE
7825487	Hylesinus varius (J.C.Fabricius, 1775)	7825487	Hylesinus varius (J.C.Fabricius, 1775)	99	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Curculionidae	4239	Hylesinus	1239036	Hylesinus varius	7825487	NE
6097856	Lebia cruxminor (Linnaeus, 1758)	6097856	Lebia cruxminor (Linnaeus, 1758)	83	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Carabidae	3792	Lebia	1036801	Lebia cruxminor	6097856	NE
6097780	Cassida murraea Linnaeus, 1767	6097780	Cassida murraea Linnaeus, 1767	97	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Chrysomelidae	7780	Cassida	1048148	Cassida murraea	6097780	NE
4459758	Plagiosterna aenea (Linnaeus, 1758)	4459758	Plagiosterna aenea (Linnaeus, 1758)	708	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Chrysomelidae	7780	Plagiosterna	8767704	Plagiosterna aenea	4459758	NE
5746432	Astenus lyonessius (Joy, 1908)	5746432	Astenus lyonessius (Joy, 1908)	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Staphylinidae	7854	Astenus	5431102	Astenus lyonessius	5746432	NE
4439222	Paederidus ruficollis (Fabricius, 1777)	4439222	Paederidus ruficollis (Fabricius, 1777)	108	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Staphylinidae	7854	Paederidus	4406886	Paederidus ruficollis	4439222	NE
1063891	Amphimallon solstitiale (Linnaeus, 1758)	1063891	Amphimallon solstitiale (Linnaeus, 1758)	3473	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Scarabaeidae	5840	Amphimallon	7521030	Amphimallon solstitiale	1063891	NE
11134183	Harmonia axyridis f. succinea	11134183	Harmonia axyridis f. succinea	12783	FORM	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Coccinellidae	7782	Harmonia	1043111	Harmonia axyridis	4989904	
5751197	Metoecus paradoxus (Linnaeus, 1761)	5751197	Metoecus paradoxus (Linnaeus, 1761)	121	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Ripiphoridae	3262676	Metoecus	3267300	Metoecus paradoxus	5751197	NE
4450421	Olibrus aeneus (Fabricius, 1792)	4450421	Olibrus aeneus (Fabricius, 1792)	108	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Phalacridae	7843	Olibrus	4450370	Olibrus aeneus	4450421	NE
4438852	Lathrobium brunnipes (Fabricius, 1792)	4438852	Lathrobium brunnipes (Fabricius, 1792)	85	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Staphylinidae	7854	Lathrobium	4290502	Lathrobium brunnipes	4438852	NE
5007631	Dictyoptera aurora (Herbst, 1784)	5007631	Dictyoptera aurora (Herbst, 1784)	177	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Lycidae	7836	Dictyoptera	1162441	Dictyoptera aurora	5007631	NE
4461510	Donacia simplex Fabricius, 1775	4461510	Donacia simplex Fabricius, 1775	185	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Chrysomelidae	7780	Donacia	1049445	Donacia simplex	4461510	NE
5750877	Anaspis frontalis (Linnaeus, 1758)	5750877	Anaspis frontalis (Linnaeus, 1758)	529	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Scraptiidae	4760	Anaspis	1046694	Anaspis frontalis	5750877	NE
5749359	Anatis ocellata (Linnaeus, 1758)	5749359	Anatis ocellata (Linnaeus, 1758)	1912	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Coccinellidae	7782	Anatis	1043191	Anatis ocellata	5749359	NE
1095652	Stegobium paniceum (Linnaeus, 1758)	1095652	Stegobium paniceum (Linnaeus, 1758)	178	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Anobiidae	7770	Stegobium	1095651	Stegobium paniceum	1095652	NE
10608708	Philonthus nitidicollis (Lacordaire, 1835)	10608708	Philonthus nitidicollis (Lacordaire, 1835)	6	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Staphylinidae	7854	Philonthus	1040167	Philonthus nitidicollis	10608708	NE
1043835	Tenebrio Linnaeus, 1758	1043835	Tenebrio Linnaeus, 1758	13	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Tenebrionidae	7857	Tenebrio	1043835			
4407267	Platydracus C.G.Thomson, 1858	4407267	Platydracus C.G.Thomson, 1858	76	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Staphylinidae	7854	Platydracus	4407267			
3260000	Sphaeroderma Stephens, 1831	3260000	Sphaeroderma Stephens, 1831	85	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Chrysomelidae	7780	Sphaeroderma	3260000			
4440411	Anotylus sculpturatus (Gravenhorst, 1806)	4440411	Anotylus sculpturatus (Gravenhorst, 1806)	94	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Staphylinidae	7854	Anotylus	1039459	Anotylus sculpturatus	4440411	NE
1081167	Gnorimus variabilis (Linnaeus, 1758)	1081167	Gnorimus variabilis (Linnaeus, 1758)	88	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Scarabaeidae	5840	Gnorimus	1081163	Gnorimus variabilis	1081167	NE
5744026	Cantharis cryptica Ashe, 1947	5744026	Cantharis cryptica Ashe, 1947	261	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Cantharidae	7777	Cantharis	3237452	Cantharis cryptica	5744026	NE
7448446	Ocypus nitens (Schrank, 1781)	7448446	Ocypus nitens (Schrank, 1781)	140	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Staphylinidae	7854	Ocypus	3262246	Ocypus nitens	7448446	NE
4453698	Melandrya caraboides (Linnaeus, 1760)	4453698	Melandrya caraboides (Linnaeus, 1760)	221	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Melandryidae	4741	Melandrya	4405287	Melandrya caraboides	4453698	NE
5746383	Paederus riparius (Linnaeus, 1758)	5746383	Paederus riparius (Linnaeus, 1758)	170	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Staphylinidae	7854	Paederus	3262381	Paederus riparius	5746383	NE
6097915	Harpalus calceatus (Duftschmid, 1812)	6097915	Harpalus calceatus (Duftschmid, 1812)	35	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Carabidae	3792	Harpalus	1035821	Harpalus calceatus	6097915	NE
5746289	Tachinus humeralis Gravenhorst, 1802	5746289	Tachinus humeralis Gravenhorst, 1802	44	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Staphylinidae	7854	Tachinus	9174844	Tachinus humeralis	5746289	NE
5744968	Dascillus cervinus (Linnaeus, 1758)	5744968	Dascillus cervinus (Linnaeus, 1758)	302	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Dascillidae	4731	Dascillus	1032929	Dascillus cervinus	5744968	NE
5022469	Phyllobius maculicornis Germar, 1823	5022469	Phyllobius maculicornis Germar, 1823	481	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Curculionidae	4239	Phyllobius	1245228	Phyllobius maculicornis	5022469	NE
6097927	Harpalus neglectus Audinet-Serville, 1821	6097927	Harpalus neglectus Audinet-Serville, 1821	33	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Carabidae	3792	Harpalus	1035821	Harpalus neglectus	6097927	NE
7994366	Clytus arietis (Linnaeus, 1758)	7994366	Clytus arietis (Linnaeus, 1758)	5285	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Cerambycidae	5602	Clytus	1125686	Clytus arietis	7994366	NE
1195129	Otiorhynchus sulcatus (Fabricius, 1775)	1195129	Otiorhynchus sulcatus (Fabricius, 1775)	1011	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Curculionidae	4239	Otiorhynchus	1194803	Otiorhynchus sulcatus	1195129	NE
7508464	Amphimallon ater	1063825	Amphimallon atrum (Herbst, 1790)	12	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Scarabaeidae	5840	Amphimallon	7521030	Amphimallon atrum	1063825	NE
