taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
5091366	Philonicus albiceps (Meigen, 1820)	5091366	Philonicus albiceps (Meigen, 1820)	1533	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Asilidae	7275	Philonicus	1659344	Philonicus albiceps	5091366	NE
1577931	Oxycera Meigen, 1803	1577931	Oxycera Meigen, 1803	13	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Stratiomyidae	6923	Oxycera	1577931			
10107395	BOLD:ACG7065	10107395	BOLD:ACG7065	16	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Cecidomyiidae	3338					
10541094	BOLD:ACB3285	10541094	BOLD:ACB3285	51	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Agromyzidae	3329	Liriomyza	1553283	Liriomyza flaveola	1553669	
10659912	BOLD:ADK1565	10659912	BOLD:ADK1565	11	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Tachinidae	6918	Actia	1463605	Actia pilipennis	9488120	
1542030	Didea alneti (Fallén, 1817)	1542030	Didea alneti (Fallén, 1817)	43	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Syrphidae	6920	Didea	1542022	Didea alneti	1542030	NE
1585538	Rhamphomyia crassirostris (Fallén, 1816)	1585538	Rhamphomyia crassirostris (Fallén, 1816)	56	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Empididae	9483	Rhamphomyia	9171806	Rhamphomyia crassirostris	1585538	NE
1530452	Polietes Rondani, 1866	1530452	Polietes Rondani, 1866	39	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Muscidae	5564	Polietes	1530452			
1513860	Antocha Osten Sacken, 1860	1513860	Antocha Osten Sacken, 1860	589	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Limoniidae	5580	Antocha	1513860			
9891926	BOLD:ACP2986	9891926	BOLD:ACP2986	717	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Phoridae	9502					
11842138	BOLD:ADB6070	11842138	BOLD:ADB6070	3	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Scathophagidae	1555553			ScathIntGen15 sp. BOLD:ADB6070	11442457	
10402725	BOLD:ACD1382	10402725	BOLD:ACD1382	29	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Chloropidae	3344	Lasiambia	8519462	Lasiambia palposa	4514686	
10172852	BOLD:ACD2966	10172852	BOLD:ACD2966	3	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Empididae	9483	Hilara	1551099	Hilara diversipes	5079716	
10028266	BOLD:ABA0880	10028266	BOLD:ABA0880	7	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Pneumia	4790270	Pneumia mutua	6098411	
4519132	Limonia hercegovinae (Strobl, 1898)	4519132	Limonia hercegovinae (Strobl, 1898)	29	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Limoniidae	5580	Limonia	1516824	Limonia hercegovinae	4519132	NE
1576936	Eupachygaster tarsalis (Zetterstedt, 1842)	1576936	Eupachygaster tarsalis (Zetterstedt, 1842)	13	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Stratiomyidae	6923	Eupachygaster	1576935	Eupachygaster tarsalis	1576936	NE
5766595	Egle ciliata (Walker, 1849)	5766595	Egle ciliata (Walker, 1849)	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Egle	1573618	Egle ciliata	5766595	NE
8125008	Macronychia Rondani, 1859	8125008	Macronychia Rondani, 1859	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Sarcophagidae	9508	Macronychia	8125008			
11483075	BOLD:ADB6148	11483075	BOLD:ADB6148	11	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Chirosia	1555604			
10065299	BOLD:AAE0058	10065299	BOLD:AAE0058	15	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Muscidae	5564	Mydaea	1529495	Mydaea occidentalis	1529548	
10088311	BOLD:ACR2744	10088311	BOLD:ACR2744	15	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Chironomidae	3343					
1456514	Diplocladius cultriger Kieffer, 1908	1456514	Diplocladius cultriger Kieffer, 1908	11	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Chironomidae	3343	Diplocladius	1456512	Diplocladius cultriger	1456514	NE
10228928	BOLD:AAC6833	10228928	BOLD:AAC6833	161	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Syrphidae	6920	Episyrphus	1536427	Episyrphus balteatus	1536449	
10414192	BOLD:ACE9059	10414192	BOLD:ACE9059	3	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Syrphidae	6920	Neoascia	1536777	Neoascia tenur	1536804	
5069511	Helina impuncta (Fallén, 1824)	5069511	Helina impuncta (Fallén, 1824)	125	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Muscidae	5564	Helina	1526192	Helina impuncta	5069511	NE
10043444	BOLD:AAG2108	10043444	BOLD:AAG2108	33	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Tachinidae	6918	Siphona	1476556	Siphona geniculata	1476749	
10592041	BOLD:ACD9518	10592041	BOLD:ACD9518	2	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Tachinidae	6918	Eurithia	1461444	Eurithia caesia	1461474	
10156843	BOLD:ACX1524	10156843	BOLD:ACX1524	3	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Chloropidae	3344	Calamoncosis	1489699	Calamoncosis munda	10373862	
