Site_Tn,location,transect,date,ID,cam_ID,start_time,top1,det_conf_mean,track_ID_imgs,top1_imgs,top1_prob_mean,top1_prob_weighted
WED_3,WED,3,2024-07-11,cam36_4,seppi-cam36,2024-07-11T13:18:12Z,none_bg,0.8,3,2,0.84,0.56
WED_3,WED,3,2024-07-11,cam36_1091,seppi-cam36,2024-07-11T13:38:07Z,fly_sarco,0.92,20,15,0.51,0.38
WED_3,WED,3,2024-07-11,cam36_2044,seppi-cam36,2024-07-11T14:39:33Z,fly_small,0.65,5,5,0.91,0.91
WED_3,WED,3,2024-07-11,cam36_2045,seppi-cam36,2024-07-11T14:39:54Z,fly_small,0.54,14,13,0.88,0.82
WED_3,WED,3,2024-07-11,cam36_2056,seppi-cam36,2024-07-11T14:41:28Z,fly_small,0.7,28,28,0.89,0.89
WED_3,WED,3,2024-07-11,cam36_2059,seppi-cam36,2024-07-11T14:56:10Z,fly_small,0.69,19,19,0.87,0.87
WED_3,WED,3,2024-07-11,cam36_2063,seppi-cam36,2024-07-11T15:06:54Z,fly_sarco,0.87,15,11,0.68,0.5
WED_3,WED,3,2024-07-11,cam36_2182,seppi-cam36,2024-07-11T15:48:47Z,none_dirt,0.63,5,5,0.82,0.82
WED_3,WED,3,2024-07-11,cam36_2190,seppi-cam36,2024-07-11T16:01:36Z,beetle_cocci,0.88,12,12,0.88,0.88
WED_3,WED,3,2024-07-11,cam36_2196,seppi-cam36,2024-07-11T16:10:23Z,fly_small,0.58,13,9,0.52,0.36
WED_3,WED,3,2024-07-11,cam36_2203,seppi-cam36,2024-07-11T16:10:38Z,none_bg,0.63,5,3,0.84,0.5
WED_3,WED,3,2024-07-11,cam36_2204,seppi-cam36,2024-07-11T16:10:48Z,none_dirt,0.58,8,4,0.8,0.4
WED_3,WED,3,2024-07-11,cam36_2205,seppi-cam36,2024-07-11T16:11:07Z,none_dirt,0.68,21,19,0.88,0.8
WED_3,WED,3,2024-07-11,cam36_2216,seppi-cam36,2024-07-11T16:12:48Z,hfly_eupeo,0.81,38,38,0.92,0.92
WED_3,WED,3,2024-07-11,cam36_2223,seppi-cam36,2024-07-11T16:13:47Z,fly,0.87,14,12,0.82,0.7
WED_3,WED,3,2024-07-11,cam36_2226,seppi-cam36,2024-07-11T16:15:40Z,hfly_episyr,0.65,10,10,0.87,0.87
WED_3,WED,3,2024-07-11,cam36_2248,seppi-cam36,2024-07-11T17:03:29Z,fly,0.88,5,4,0.74,0.59
WED_3,WED,3,2024-07-11,cam36_2260,seppi-cam36,2024-07-11T17:10:20Z,bee,0.8,10,7,0.57,0.4
WED_3,WED,3,2024-07-11,cam36_2267,seppi-cam36,2024-07-11T17:18:50Z,fly_sarco,0.84,8,3,0.77,0.29
WED_3,WED,3,2024-07-11,cam36_2277,seppi-cam36,2024-07-11T17:42:14Z,fly,0.92,4,2,0.92,0.46
WED_3,WED,3,2024-07-11,cam36_2292,seppi-cam36,2024-07-11T17:47:19Z,fly,0.9,4,4,0.43,0.43
STP_1,STP,1,2024-07-14,cam36_21,seppi-cam36,2024-07-14T09:51:55Z,fly,0.86,22,17,0.71,0.55
STP_1,STP,1,2024-07-14,cam36_35,seppi-cam36,2024-07-14T09:54:35Z,bee,0.9,26,17,0.59,0.39
STP_1,STP,1,2024-07-14,cam36_47,seppi-cam36,2024-07-14T09:55:17Z,bee,0.84,7,5,0.8,0.57
STP_1,STP,1,2024-07-14,cam36_129,seppi-cam36,2024-07-14T10:11:14Z,bee,0.87,11,10,0.89,0.81
