STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       2932;20230910;   10;   7.7;   2.3;    9;   0.0;   0;   12.400;   0;   0.0;  15.8; 1001.70;   21.7;   63.00;   29.5;   13.8;   10.8;eor
       2932;20230911;   10;   6.0;   1.8;    9;   0.0;   0;   12.200;   0;   0.3;  15.9;  998.40;   22.2;   62.00;   30.2;   14.8;   11.3;eor
       2932;20230912;   10;   8.9;   2.4;    9;   2.6;   6;    9.300;   0;   2.5;  18.2;  996.70;   21.9;   70.00;   28.2;   15.7;   13.7;eor
       2932;20230913;   10;  15.8;   4.3;    9;   6.6;   6;    3.900;   0;   6.1;  18.2;  998.80;   18.2;   87.00;   22.4;   13.2;   13.2;eor
       2932;20230914;   10;   5.5;   1.8;    9;   0.0;   0;    9.600;   0;   2.9;  12.4; 1006.60;   14.6;   76.00;   19.5;   11.0;    8.3;eor
       2932;20230915;   10;  10.3;   3.4;    9;   0.0;   0;   12.100;   0;   0.0;  12.9; 1004.60;   15.6;   74.00;   23.0;    9.0;    6.7;eor
       2932;20230916;   10;   5.0;   2.2;    9;   0.0;   0;   11.800;   0;   0.4;  14.0; 1000.50;   18.0;   70.00;   25.9;   11.2;    8.2;eor
       2932;20230917;   10;   6.7;   2.9;    9;   0.0;   6;    6.600;   0;   3.8;  15.7;  999.10;   20.4;   68.00;   27.6;   13.4;   10.8;eor
       2932;20230918;   10;  12.3;   4.8;    9;   0.5;   6;    2.100;   0;   4.8;  17.0;  993.20;   19.7;   74.00;   24.4;   15.9;   13.3;eor
       2932;20230919;   10;  14.4;   6.5;    9;   0.0;   0;   10.000;   0;   1.1;  12.8;  995.40;   17.5;   64.00;   21.2;   13.4;   11.5;eor
       2932;20230920;   10;  12.3;   4.7;    9;   0.0;   0;    8.700;   0;   3.1;  13.9;  995.20;   18.6;   66.00;   24.7;   13.3;   11.2;eor
