"Site","Transect","Site_type","Date","Taxa","Count"
"BUH","1","young_restored",2024-08-13,"apidae",0
"BUH","1","young_restored",2024-08-13,"bombus",0
"BUH","1","young_restored",2024-08-13,"cantharidae",0
"BUH","1","young_restored",2024-08-13,"carabidae",0
"BUH","1","young_restored",2024-08-13,"cecidomyiidae",0
"BUH","1","young_restored",2024-08-13,"coccinellidae",0
"BUH","1","young_restored",2024-08-13,"curculionidae",0
"BUH","1","young_restored",2024-08-13,"dasypoda",0
"BUH","1","young_restored",2024-08-13,"elateridae",0
"BUH","1","young_restored",2024-08-13,"mordellidae",0
"BUH","1","young_restored",2024-08-13,"proctotrupidae",0
"BUH","1","young_restored",2024-08-13,"staphylinidae",0
"BUH","1","young_restored",2024-08-13,"tenthredinidae",1
"BUH","1","young_restored",2024-08-13,"colletidae",0
"BUH","1","young_restored",2024-08-13,"tachinidae",0
"BUH","1","young_restored",2024-08-13,"calliphoridae",0
"BUH","1","young_restored",2024-08-13,"sarcophagidae",0
"BUH","1","young_restored",2024-08-13,"sepsidae",0
"BUH","1","young_restored",2024-08-13,"empididae",0
"BUH","1","young_restored",2024-08-13,"ephydridae",0
"BUH","1","young_restored",2024-08-13,"muscidae",0
"BUH","1","young_restored",2024-08-13,"asilidae",0
"BUH","1","young_restored",2024-08-13,"stratiomyidae",0
"BUH","1","young_restored",2024-08-13,"polleniidae",0
"BUH","1","young_restored",2024-08-13,"acalyptrate",0
"BUH","2","young_restored",2024-08-13,"apidae",0
"BUH","2","young_restored",2024-08-13,"bombus",0
"BUH","2","young_restored",2024-08-13,"cantharidae",0
"BUH","2","young_restored",2024-08-13,"carabidae",0
"BUH","2","young_restored",2024-08-13,"cecidomyiidae",0
"BUH","2","young_restored",2024-08-13,"coccinellidae",0
"BUH","2","young_restored",2024-08-13,"curculionidae",0
"BUH","2","young_restored",2024-08-13,"dasypoda",0
"BUH","2","young_restored",2024-08-13,"elateridae",0
"BUH","2","young_restored",2024-08-13,"mordellidae",0
"BUH","2","young_restored",2024-08-13,"proctotrupidae",0
"BUH","2","young_restored",2024-08-13,"staphylinidae",0
"BUH","2","young_restored",2024-08-13,"tenthredinidae",0
"BUH","2","young_restored",2024-08-13,"colletidae",0
"BUH","2","young_restored",2024-08-13,"tachinidae",0
"BUH","2","young_restored",2024-08-13,"calliphoridae",0
"BUH","2","young_restored",2024-08-13,"sarcophagidae",0
"BUH","2","young_restored",2024-08-13,"sepsidae",0
"BUH","2","young_restored",2024-08-13,"empididae",0
"BUH","2","young_restored",2024-08-13,"ephydridae",0
"BUH","2","young_restored",2024-08-13,"muscidae",0
"BUH","2","young_restored",2024-08-13,"asilidae",0
"BUH","2","young_restored",2024-08-13,"stratiomyidae",0
"BUH","2","young_restored",2024-08-13,"polleniidae",0
"BUH","2","young_restored",2024-08-13,"acalyptrate",0
"BUH","3","young_restored",2024-08-13,"apidae",0
"BUH","3","young_restored",2024-08-13,"bombus",0
"BUH","3","young_restored",2024-08-13,"cantharidae",0
"BUH","3","young_restored",2024-08-13,"carabidae",0
"BUH","3","young_restored",2024-08-13,"cecidomyiidae",0
"BUH","3","young_restored",2024-08-13,"coccinellidae",0
"BUH","3","young_restored",2024-08-13,"curculionidae",0
"BUH","3","young_restored",2024-08-13,"dasypoda",0
"BUH","3","young_restored",2024-08-13,"elateridae",0
"BUH","3","young_restored",2024-08-13,"mordellidae",0
"BUH","3","young_restored",2024-08-13,"proctotrupidae",0
"BUH","3","young_restored",2024-08-13,"staphylinidae",0
"BUH","3","young_restored",2024-08-13,"tenthredinidae",0
"BUH","3","young_restored",2024-08-13,"colletidae",0
"BUH","3","young_restored",2024-08-13,"tachinidae",1
"BUH","3","young_restored",2024-08-13,"calliphoridae",0
"BUH","3","young_restored",2024-08-13,"sarcophagidae",0
"BUH","3","young_restored",2024-08-13,"sepsidae",0
"BUH","3","young_restored",2024-08-13,"empididae",0
"BUH","3","young_restored",2024-08-13,"ephydridae",0
"BUH","3","young_restored",2024-08-13,"muscidae",0
"BUH","3","young_restored",2024-08-13,"asilidae",0
"BUH","3","young_restored",2024-08-13,"stratiomyidae",0
"BUH","3","young_restored",2024-08-13,"polleniidae",0
"BUH","3","young_restored",2024-08-13,"acalyptrate",0
"BUH","4","young_restored",2024-08-13,"apidae",1
"BUH","4","young_restored",2024-08-13,"bombus",0
"BUH","4","young_restored",2024-08-13,"cantharidae",0
"BUH","4","young_restored",2024-08-13,"carabidae",0
"BUH","4","young_restored",2024-08-13,"cecidomyiidae",0
"BUH","4","young_restored",2024-08-13,"coccinellidae",0
"BUH","4","young_restored",2024-08-13,"curculionidae",0
"BUH","4","young_restored",2024-08-13,"dasypoda",0
"BUH","4","young_restored",2024-08-13,"elateridae",0
"BUH","4","young_restored",2024-08-13,"mordellidae",0
"BUH","4","young_restored",2024-08-13,"proctotrupidae",1
"BUH","4","young_restored",2024-08-13,"staphylinidae",0
"BUH","4","young_restored",2024-08-13,"tenthredinidae",0
"BUH","4","young_restored",2024-08-13,"colletidae",0
"BUH","4","young_restored",2024-08-13,"tachinidae",0
"BUH","4","young_restored",2024-08-13,"calliphoridae",0
"BUH","4","young_restored",2024-08-13,"sarcophagidae",0
"BUH","4","young_restored",2024-08-13,"sepsidae",1
"BUH","4","young_restored",2024-08-13,"empididae",1
"BUH","4","young_restored",2024-08-13,"ephydridae",0
"BUH","4","young_restored",2024-08-13,"muscidae",0
"BUH","4","young_restored",2024-08-13,"asilidae",0
"BUH","4","young_restored",2024-08-13,"stratiomyidae",0
