"date","site","transect","site_type","plant_species","total_interaction","order","family","genus","lowest_taxa"
2024-07-11,"WED","T4","young_restored","Daucus carota",1,"Diptera","Tachinidae",NA,"Tachinidae"
2024-08-13,"BUH","T2","young_restored","Galium album",1,"Diptera","Calliphoridae",NA,"Calliphoridae"
2024-08-13,"BUH","T2","young_restored","Achillea millefolium",1,"Diptera","Syrphidae","Cheilosia","Syrphidae_Cheilosia"
2024-07-24,"HLI","T5","reference","Daucus carota",1,"Diptera","Tachinidae",NA,"Tachinidae"
2024-07-29,"WUP","T3","reference","Pentanema britannica",1,"Hymenoptera","Tenthredinidae",NA,"Tenthredinidae"
2024-07-30,"WDG","T1","young_restored","Dianthus carthusianorum",1,"Lepidoptera","Sphingidae","Macroglossum","Sphingidae_Macroglossum_stellatarum"
2024-07-11,"WED","T3","young_restored","Pastinaca sativa",1,"Diptera","Sarcophagidae",NA,"Sarcophagidae"
2024-07-11,"WED","T3","young_restored","Pastinaca sativa",1,"Diptera","Sarcophagidae",NA,"Sarcophagidae"
2024-07-11,"WED","T3","young_restored","Pastinaca sativa",1,"Diptera","Sarcophagidae",NA,"Sarcophagidae"
2024-07-11,"WED","T3","young_restored","Pastinaca sativa",1,"Diptera","Sarcophagidae",NA,"Sarcophagidae"
2024-07-11,"WED","T3","young_restored","Pastinaca sativa",1,"Diptera","Sarcophagidae",NA,"Sarcophagidae"
2024-07-20,"KOT","T1","young_restored","Galium album",1,"Diptera","Sarcophagidae",NA,"Sarcophagidae"
2024-07-20,"KOT","T2","young_restored","Pastinaca sativa",1,"Diptera","Sarcophagidae",NA,"Sarcophagidae"
2024-07-20,"KOT","T2","young_restored","Pastinaca sativa",1,"Diptera","Sarcophagidae",NA,"Sarcophagidae"
2024-07-20,"KOT","T2","young_restored","Pastinaca sativa",1,"Diptera","Calliphoridae","Lucilia","Calliphoridae_Lucilia"
2024-07-20,"KOT","T2","young_restored","Pastinaca sativa",1,"Diptera","Sarcophagidae",NA,"Sarcophagidae"
2024-07-20,"KOT","T4","young_restored","Pastinaca sativa",1,"Diptera","Sarcophagidae",NA,"Sarcophagidae"
2024-07-20,"KOT","T4","young_restored","Pastinaca sativa",1,"Diptera","Sarcophagidae",NA,"Sarcophagidae"
2024-07-20,"KOT","T4","young_restored","Pastinaca sativa",1,"Diptera","Sarcophagidae",NA,"Sarcophagidae"
2024-07-20,"KOT","T4","young_restored","Pastinaca sativa",1,"Diptera","Sarcophagidae",NA,"Sarcophagidae"
2024-07-20,"KOT","T4","young_restored","Pastinaca sativa",1,"Diptera","Sarcophagidae",NA,"Sarcophagidae"
2024-07-20,"KOT","T4","young_restored","Pastinaca sativa",1,"Diptera","Sarcophagidae",NA,"Sarcophagidae"
2024-07-20,"KOT","T4","young_restored","Galium album",1,"Diptera","Sarcophagidae",NA,"Sarcophagidae"
2024-07-20,"KOT","T1","young_restored","Pastinaca sativa",1,"Diptera","Calliphoridae","Lucilia","Calliphoridae_Lucilia"
2024-07-11,"WED","T3","young_restored","Pastinaca sativa",1,"Diptera","Polleniidae",NA,"Polleniidae"
2024-07-11,"WED","T3","young_restored","Pastinaca sativa",1,"Diptera","Polleniidae",NA,"Polleniidae"
2024-07-11,"WED","T3","young_restored","Pastinaca sativa",1,"Diptera","Polleniidae",NA,"Polleniidae"
2024-07-11,"WED","T3","young_restored","Pastinaca sativa",1,"Diptera","Polleniidae",NA,"Polleniidae"
2024-07-11,"WED","T3","young_restored","Achillea millefolium",1,"Diptera","Calliphoridae","Lucilia","Calliphoridae_Lucilia"
2024-07-11,"WED","T3","young_restored","Daucus carota",1,"Diptera","Calliphoridae","Lucilia","Calliphoridae_Lucilia"
2024-07-11,"WED","T3","young_restored","Pastinaca sativa",1,"Diptera","Polleniidae",NA,"Polleniidae"
2024-07-11,"WED","T3","young_restored","Daucus carota",1,"Diptera","Calliphoridae",NA,"Calliphoridae"
2024-07-11,"WED","T3","young_restored","Daucus carota",1,"Diptera","Polleniidae",NA,"Polleniidae"
2024-07-11,"WED","T3","young_restored","Pastinaca sativa",1,"Diptera","Polleniidae",NA,"Polleniidae"
2024-07-11,"WED","T3","young_restored","Achillea millefolium",1,"Diptera","Tachinidae",NA,"Tachinidae"
2024-07-11,"WED","T3","young_restored","Pastinaca sativa",1,"Diptera","Syrphidae",NA,"Syrphidae"
2024-07-11,"WED","T3","young_restored","Pastinaca sativa",1,"Diptera","Polleniidae",NA,"Polleniidae"
2024-07-20,"KOT","T1","young_restored","Daucus carota",1,"Diptera","Calliphoridae","Lucilia","Calliphoridae_Lucilia"
2024-07-20,"KOT","T1","young_restored","Crepis biennis",1,"Diptera","Tachinidae",NA,"Tachinidae"
2024-07-20,"KOT","T1","young_restored","Crepis biennis",1,"Diptera","Tachinidae",NA,"Tachinidae"
2024-07-20,"KOT","T1","young_restored","Galium album",1,"Diptera","Anthomyiidae",NA,"Anthomyiidae"
2024-07-20,"KOT","T1","young_restored","Galium album",1,"Diptera","Anthomyiidae",NA,"Anthomyiidae"
2024-07-20,"KOT","T1","young_restored","Galium album",1,"Diptera","Syrphidae",NA,"Syrphidae"
2024-07-20,"KOT","T1","young_restored","Galium album",1,"Diptera","Calliphoridae","Lucilia","Calliphoridae_Lucilia"
2024-07-20,"KOT","T2","young_restored","Pastinaca sativa",1,"Diptera","Anthomyiidae",NA,"Anthomyiidae"
2024-07-20,"KOT","T2","young_restored","Pastinaca sativa",1,"Diptera","Tachinidae",NA,"Tachinidae"
2024-07-20,"KOT","T2","young_restored","Pastinaca sativa",1,"Diptera","Calliphoridae","Lucilia","Calliphoridae_Lucilia"
2024-07-20,"KOT","T2","young_restored","Pastinaca sativa",1,"Diptera","Calliphoridae","Lucilia","Calliphoridae_Lucilia"
2024-07-20,"KOT","T2","young_restored","Pastinaca sativa",1,"Diptera","Sarcophagidae",NA,"Sarcophagidae"
2024-07-20,"KOT","T2","young_restored","Pastinaca sativa",1,"Diptera","Sarcophagidae",NA,"Sarcophagidae"
2024-07-20,"KOT","T2","young_restored","Pastinaca sativa",1,"Diptera","Calliphoridae","Lucilia","Calliphoridae_Lucilia"
2024-07-20,"KOT","T2","young_restored","Pastinaca sativa",1,"Diptera","Sarcophagidae",NA,"Sarcophagidae"
2024-07-20,"KOT","T4","young_restored","Pastinaca sativa",1,"Diptera","Polleniidae",NA,"Polleniidae"
