"Site","Site_type","Transect","Plot","Plant_sp","Cover_percentage","BB"
"WED","1-5 y","T1",1,"Lotus corniculatus",1,3
"WED","1-5 y","T1",1,"Leucanthemum vulgare",0.3,1
"WED","1-5 y","T1",1,"Trifolium pratense",2,3
"WED","1-5 y","T1",1,"Knautia arvensis",0.3,1
"WED","1-5 y","T1",1,"Trifolium campestre",2,3
"WED","1-5 y","T1",1,"Pastinaca sativa",0.3,1
"WED","1-5 y","T1",2,"Knautia arvensis",0.3,1
"WED","1-5 y","T1",2,"Lotus corniculatus",1,3
"WED","1-5 y","T1",2,"Trifolium pratense",1,3
"WED","1-5 y","T1",2,"Prunella vulgaris",0.3,1
"WED","1-5 y","T1",3,"Lathyrus pratensis",1,3
"WED","1-5 y","T1",3,"Galium album",0.75,2
"WED","1-5 y","T1",3,"Daucus carota",5,4
"WED","1-5 y","T1",3,"Achillea millefolium",0.3,1
"WED","1-5 y","T1",3,"Galium verum",1,3
"WED","1-5 y","T1",3,"Knautia arvensis",0.3,1
"WED","1-5 y","T2",1,"Pastinaca sativa",10,4
"WED","1-5 y","T2",1,"Leucanthemum vulgare",0.1,1
"WED","1-5 y","T2",2,"Trifolium pratense",0.1,1
"WED","1-5 y","T2",2,"Pastinaca sativa",0.1,1
"WED","1-5 y","T2",3,"Daucus carota",5,4
"WED","1-5 y","T2",3,"Knautia arvensis",0.1,1
"WED","1-5 y","T2",3,"Achillea millefolium",0.1,1
"WED","1-5 y","T3",1,"Trifolium pratense",0.3,1
"WED","1-5 y","T3",1,"Knautia arvensis",0.3,1
"WED","1-5 y","T3",1,"Pastinaca sativa",0.75,2
"WED","1-5 y","T3",2,"Lotus corniculatus",1,3
"WED","1-5 y","T3",2,"Leucanthemum vulgare",0.3,1
"WED","1-5 y","T3",2,"Pastinaca sativa",0.3,1
"WED","1-5 y","T3",3,"Daucus carota",0.3,1
"WED","1-5 y","T3",3,"Lathyrus pratensis",5,4
"WED","1-5 y","T3",3,"Achillea millefolium",1,3
