Site,Transect,cam_ID,rec_time_min,first_record_start_time
BUH,T1,seppi-cam36,71.37,10:36
BUH,T3,seppi-cam37,360.07,10:33
BUH,T5,seppi-cam38,360.07,10:31
DES,T1,seppi-cam36,66.21,10:19
DES,T3,seppi-cam37,360.06,10:13
DES,T5,seppi-cam38,360.07,10:10
HLI,T1,seppi-cam36,360.06,10:39
HLI,T4,seppi-cam37,360.06,10:56
HLI,T5,seppi-cam38,360.07,10:52
JEP,T1,seppi-cam38,360.07,09:46
JEP,T2,seppi-cam36,360.07,10:02
JEP,T5,seppi-cam37,360.07,09:57
KOT,T1,seppi-cam37,360.06,10:06
KOT,T3,seppi-cam38,360.07,10:11
KOT,T5,seppi-cam36,281.67,10:18
STP,T1,seppi-cam36,360.06,09:48
STP,T3,seppi-cam38,394.75,09:57
STP,T5,seppi-cam37,360.06,10:08
WDG,T1,seppi-cam37,360.06,10:19
WDG,T3,seppi-cam38,360.07,10:16
WDG,T5,seppi-cam36,283.12,10:13
WED,T2,seppi-cam38,268.11,13:14
WED,T3,seppi-cam36,278.41,13:12
WED,T5,seppi-cam37,287.35,13:07
WUP,T1,seppi-cam38,360.06,10:38
WUP,T3,seppi-cam36,360.07,10:42
WUP,T5,seppi-cam37,360.07,10:48
