"Site","Site_type","Transect","average_flower_cover","Pastinaca sativa","Daucus carota","top2_ratio"
"WED","1-5 y","T1",4.64651162790698,0.0508474576271186,0.598802395209581,0.6496498528367
"WED","1-5 y","T2",4.64651162790698,2.98019801980198,0.961538461538461,3.94173648134044
"WED","1-5 y","T3",4.64651162790698,1.48611111111111,0.036144578313253,1.52225568942436
"WED","1-5 y","T4",4.64651162790698,0,0.0833333333333333,0.0833333333333333
"WED","1-5 y","T5",4.64651162790698,0,0.0930232558139535,0.0930232558139535
"WDG","1-5 y","T1",8.8305,0,1.96064993949856,1.96064993949856
"BUH","1-5 y","T1",15.5380952380952,0.0180722891566265,0,0.0180722891566265
"BUH","1-5 y","T2",15.5380952380952,0,0.09375,0.09375
"DES","Reference","T1",29.3772727272727,0,3.61953802811521,3.61953802811521
"DES","Reference","T2",29.3772727272727,0,1.67671118485027,1.67671118485027
"DES","Reference","T3",29.3772727272727,0,0.756673810090748,0.756673810090748
"DES","Reference","T4",29.3772727272727,0,0.892466663808258,0.892466663808258
"DES","Reference","T5",29.3772727272727,0,6.5354116655641,6.5354116655641
"HLI","Reference","T1",8.27876712328767,0,4.72291751947764,4.72291751947764
"HLI","Reference","T2",8.27876712328767,0,1.1437908496732,1.1437908496732
"HLI","Reference","T3",8.27876712328767,1.71249137336094,0.410582010582011,2.12307338394295
"HLI","Reference","T4",8.27876712328767,1.33162612035851,1.11825148032045,2.44987760067896
"HLI","Reference","T5",8.27876712328767,0,1.49173553719008,1.49173553719008
"JEP","Reference","T1",11.6,0,0,0
"JEP","Reference","T2",11.6,0,0,0
"KOT","1-5 y","T1",19.6086419753086,0.182947785855915,0.0561797752808989,0.239127561136814
"KOT","1-5 y","T2",19.6086419753086,0.66815144766147,0,0.66815144766147
"KOT","1-5 y","T3",19.6086419753086,4.70860694183865,0,4.70860694183865
"KOT","1-5 y","T4",19.6086419753086,3.60569596827348,0,3.60569596827348
"KOT","1-5 y","T5",19.6086419753086,2.6798239439038,0,2.6798239439038
"STP","Reference","T1",16.6381578947368,0,0.881057268722467,0.881057268722467
"STP","Reference","T2",16.6381578947368,0,0.0442477876106195,0.0442477876106195
"STP","Reference","T4",16.6381578947368,0,2.16618761431931,2.16618761431931
"WDG","1-5 y","T2",8.8305,0,0.246913580246914,0.246913580246914
"WDG","1-5 y","T3",8.8305,0,0.941842511580031,0.941842511580031
"WDG","1-5 y","T4",8.8305,0,1.08802046092882,1.08802046092882
"WDG","1-5 y","T5",8.8305,0,0.606265494703629,0.606265494703629
"WUP","Reference","T1",10.4295081967213,5.39560385893726,0.338028169014085,5.73363202795134
"WUP","Reference","T3",10.4295081967213,1.72596685082873,0,1.72596685082873
"WUP","Reference","T4",10.4295081967213,2.30916075510829,0.823675496688742,3.13283625179703
"WUP","Reference","T5",10.4295081967213,0,3.7910447761194,3.7910447761194
